	Domain	Phylum	Class	Order	Family	Genus	Species	RandomForestExp	RandomForestPrefer	pH	SOC	TN	MAT	MaxTWarmM	MAP	PWetM	NDVI	ClusterNames
OTU_767801	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	Unclassified	55.96788714	SMeanTWetQ		0.231930685	-0.143660234						High SOC
OTU_769	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Ellin6055	metagenome	41.1136907	pH	-0.284145267			-0.315170197	0.290942948		-0.222524248		Low pH low MAT
OTU_77	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella	metagenome	52.57262882	SMDR	-0.333611782	0.197977209	-0.229908519		-0.197443744				Low pH high SOC
OTU_771	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	Unclassified	Unclassified	50.70198347	TN	0.187429695			-0.200168664				0.20513096	High pH
OTU_772	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Vicinamibacteraceae	Unclassified	Unclassified	68.88796745	MeanTWarmQ			0.191086362		0.24188123				High MaxTWarmM
OTU_775	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	Unclassified	Unclassified	Unclassified	31.70513657	SMDR	-0.349888575								Low pH
OTU_776	Bacteria	Acidobacteriota	Blastocatellia	Blastocatellales	Blastocatellaceae	Aridibacter	Unclassified	63.1743074	SOC		0.186211823			0.14883211	-0.166699901	0.202269122		High PWetM
OTU_78	Bacteria	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae	RB41	Arenimicrobium luteum	63.0923082	pH	0.16105295					-0.220145464	0.30994745		High pH
OTU_7841	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	Candidatus Udaeobacter	Unclassified	43.33038448	SOC				-0.137815091	0.233005109				High MaxTWarmM
OTU_787	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Psychroglaciecola	metagenome	75.57164068	pH	0.137774619				0.182094501				High MaxTWarmM
OTU_789	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Pedomicrobium	Unclassified	72.2535994	pH	0.448928331	-0.175892845	0.152426172	-0.180526213		0.177683662			High pH and TN with low SOC
OTU_79	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Pseudolabrys	Unclassified	70.6066556	NDVI						-0.140604154		0.253628097	High NDVI
OTU_792	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Flavitalea	Unclassified	53.75719269	pH		0.206052285				-0.163875301	0.217697572		High PWetM
OTU_7928	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Geodermatophilaceae	Geodermatophilus	Unclassified	55.22906536	NDVI		0.135291462					0.137008567		High SOC
OTU_797	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Rhizobiales bacterium GAS113	Unclassified	68.69247777	pH	-0.272082777				-0.157558052				Low pH
OTU_799	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	Unclassified	Unclassified	Unclassified	71.90474647	SOC			0.160353344	0.191819313					
OTU_8	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Unclassified	Unclassified	78.49979598	NDVI	-0.312750261							0.138131112	Low pH
OTU_800	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Vicinamibacteraceae	Vicinamibacter	Unclassified	55.2541868	pH	0.342476943	-0.171889157					0.148787212		High pH
OTU_801	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria Incertae Sedis	Unclassified	Acidibacter	Unclassified	44.7065533	TN	0.202957258		0.162672373						High pH
OTU_803	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Unclassified	Unclassified	78.18812443	pH	0.411022872	-0.251825985	0.322933537				0.157601604		High pH and TN with low SOC
OTU_805	Bacteria	Proteobacteria	Alphaproteobacteria	Unclassified	Unclassified	Unclassified	Unclassified	47.14751241	pH	-0.258412248	0.214487004	-0.186739512						High SOC
OTU_8094	Bacteria	Proteobacteria	Alphaproteobacteria	Micropepsales	Micropepsaceae	Unclassified	metagenome	20.37536681	TN									
OTU_810	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	Unclassified	Unclassified	59.8635599	PrecSeason	-0.147761019	0.144208071	-0.209065442	-0.141375856		-0.195728542	0.149629084		High PWetM
OTU_813	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Marmoricola	Unclassified	42.91663017	MDR	0.174438935				-0.162368691	-0.161949705	0.23770828		High pH
OTU_814	Bacteria	Chloroflexi	Gitt-GS-136	Unclassified	Unclassified	Unclassified	Unclassified	70.73485015	PWetQ	0.33845339		0.209415407	0.165441096					High pH
OTU_815	Bacteria	Actinobacteriota	Actinobacteria	Streptosporangiales	Thermomonosporaceae	Actinocorallia	metagenome	39.86773208	SMeanTWetQ				-0.157352796				0.206449563	High NDVI
OTU_8153	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Conexibacter	Unclassified	78.49783438	PWetQ	-0.174665677								Low pH
OTU_817	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Unclassified	Unclassified	Unclassified	69.58670154	pH	-0.383009508								Low pH
OTU_8212	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Flavisolibacter	Unclassified	27.23695166	SOC									
OTU_828	Bacteria	Actinobacteriota	Acidimicrobiia	IMCC26256	Unclassified	Unclassified	Unclassified	66.42496402	PDryQ			0.272530641						
OTU_829	Bacteria	Actinobacteriota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Amycolatopsis	Amycolatopsis mediterranei S699	50.89534011	PrecSeason					0.208022918	-0.159751832	0.148921041	0.155244629	High PWetM
OTU_83	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methyloligellaceae	Unclassified	Unclassified	73.86582154	pH	0.423472072	-0.25567094	0.420196145	-0.193161753	0.165491546				High pH and TN with low SOC
OTU_831	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Unclassified	Unclassified	Unclassified	53.85070911	SMaxTWarmM	-0.232605174			-0.281456203					Low pH
OTU_838	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium	Hyphomicrobium facile	40.91796704	pH	-0.217426752	0.164621575			-0.190336284		0.201816172		Low pH high SOC
OTU_840	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	Caulobacter henricii	26.43058266	pH									
